Algoritmo,Version,n,Ej.1(ms),Ej.2(ms),Ej.3(ms),Ej.4(ms),Ej.5(ms),Promedio(ms)
A1 - Factorial,Iterativo,5,1.713500,0.003200,0.000600,0.000500,0.000500,0.343660
A1 - Factorial,Iterativo,10,0.002600,0.000400,0.000500,0.000400,0.000300,0.000840
A1 - Factorial,Iterativo,15,0.002300,0.000600,0.000600,0.000500,0.000500,0.000900
A1 - Factorial,Iterativo,20,0.002500,0.001000,0.001100,0.001200,0.001100,0.001380
A1 - Factorial,Iterativo,25,0.003000,0.001400,0.001100,0.001200,0.001200,0.001580
A1 - Factorial,Iterativo,30,0.003000,0.001600,0.001400,0.001400,0.001300,0.001740
A1 - Factorial,Recursivo,5,0.011200,0.001300,0.001200,0.001300,0.001200,0.003240
A1 - Factorial,Recursivo,10,0.003900,0.001300,0.001200,0.001100,0.001300,0.001760
A1 - Factorial,Recursivo,15,0.003400,0.001500,0.001800,0.005500,0.001700,0.002780
A1 - Factorial,Recursivo,20,0.003100,0.003700,0.001800,0.001500,0.001700,0.002360
A1 - Factorial,Recursivo,25,0.006700,0.004200,0.004200,0.004200,0.004300,0.004720
A1 - Factorial,Recursivo,30,0.009100,0.001600,0.001500,0.001400,0.012600,0.005240
A2 - Fibonacci,Iterativo,5,1.145300,0.004300,0.000600,0.001100,0.001000,0.230460
A2 - Fibonacci,Iterativo,10,0.002100,0.000900,0.000900,0.000800,0.000800,0.001100
A2 - Fibonacci,Iterativo,15,0.002600,0.001100,0.001300,0.001000,0.001000,0.001400
A2 - Fibonacci,Iterativo,20,0.002300,0.001100,0.001200,0.001200,0.001200,0.001400
A2 - Fibonacci,Iterativo,25,0.004100,0.001700,0.001300,0.002000,0.002000,0.002220
A2 - Fibonacci,Iterativo,30,0.005600,0.001800,0.001700,0.001800,0.001400,0.002460
A2 - Fibonacci,Recursivo,5,0.015500,0.001000,0.001000,0.000900,0.000800,0.003840
A2 - Fibonacci,Recursivo,10,0.014300,0.011000,0.018700,0.028000,0.011900,0.016780
A2 - Fibonacci,Recursivo,15,0.056000,0.015400,0.041400,0.014200,0.015600,0.028520
A2 - Fibonacci,Recursivo,20,0.141400,0.124600,0.128700,0.151200,0.136500,0.136480
A2 - Fibonacci,Recursivo,25,0.658400,0.615300,0.653300,0.539600,0.441500,0.581620
A2 - Fibonacci,Recursivo,30,5.338400,5.571300,7.738000,6.606100,7.701000,6.590960
A3 - Busqueda Lineal,Iterativo,100,0.915300,0.003700,0.002900,0.003000,0.002700,0.185520
A3 - Busqueda Lineal,Iterativo,500,0.012800,0.013400,0.011300,0.012200,0.010100,0.011960
A3 - Busqueda Lineal,Iterativo,1000,0.030600,0.028600,0.033400,0.060700,0.042600,0.039180
A3 - Busqueda Lineal,Iterativo,5000,0.140800,0.149700,0.139200,0.124400,0.113100,0.133440
A3 - Busqueda Lineal,Iterativo,10000,0.318300,0.458700,0.550900,0.536800,0.337500,0.440440
A3 - Busqueda Lineal,Recursivo,100,0.032200,0.009200,0.006300,0.006600,0.005600,0.011980
A3 - Busqueda Lineal,Recursivo,500,0.182800,0.030400,0.031100,0.029100,0.052300,0.065140
A3 - Busqueda Lineal,Recursivo,1000,0.426200,0.163900,0.139500,0.127000,0.032600,0.177840
A3 - Busqueda Lineal,Recursivo,5000,0.455500,0.106900,0.059300,0.051300,0.049400,0.144480
A3 - Busqueda Lineal,Recursivo,10000,0.292100,0.097400,0.222400,0.058800,0.063200,0.146780
A4 - Burbuja,Iterativo,100,2.403600,0.570300,1.692600,1.288400,1.271300,1.445240
A4 - Burbuja,Iterativo,500,14.920800,1.703500,7.699300,1.587800,1.329500,5.448180
A4 - Burbuja,Iterativo,1000,1.566300,10.110700,2.232300,1.544000,1.636600,3.417980
A4 - Burbuja,Iterativo,5000,61.707300,56.954900,51.572600,62.426400,46.904200,55.913080
A4 - Burbuja,Iterativo,10000,236.172300,213.991000,199.719900,175.531200,169.205000,198.923880
A4 - Burbuja,Recursivo,100,0.182900,0.186700,0.191700,0.233000,0.294600,0.217780
A4 - Burbuja,Recursivo,500,3.529400,1.466700,1.457400,1.597700,1.201500,1.850540
A4 - Burbuja,Recursivo,1000,6.836200,8.477200,6.282700,2.255900,1.675400,5.105480
A4 - Burbuja,Recursivo,5000,33.034900,33.007400,31.583800,34.990800,33.036200,33.130620
A4 - Burbuja,Recursivo,10000,192.332000,167.192800,150.784000,156.660500,151.154200,163.624700
